Annotations,Speaker,Utterance,,,,
POL,*CHI,here father .,uses name,,,
,%mor,adv|here noun|father .,,,,
,%gra,1|2|AMOD 2|2|ROOT 3|2|PUNCT,,,,
,%com,Glo puts it up to Bob's head,,,,
NOP,*BOB,what is it ?,,,,
,%mor,pron|what-Int-S1 aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 ?,,,,
,%gra,1|3|ROOT 2|1|COP 3|1|NSUBJ 4|1|PUNCT,,,,
,%com,"he takes it and puts it on . not too interested , Glo return to sack",,,,
NOP,*BOB,yes a new .,,,,
,%mor,intj|yes det|a-Ind-Art noun|New .,,,,
,%gra,1|3|DISCOURSE 2|3|DET 3|3|ROOT 4|3|PUNCT,,,,
NOP,*CHI,it doesn't fit really .,,,,
,%mor,pron|it-Prs-Nom-S3 aux|do-Fin-Ind-Pres-S3~part|not verb|fit-Inf-S adv|really .,,,,
,%gra,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|5|ROOT 5|4|ADVMOD 6|4|PUNCT,,,,
,%com,Glo gets out curtain,,,,
NOP,*BOB,xxx .,,,,
,*CHI,oh .,,,,
,%mor,intj|oh .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%tim,0,1,0,,
NOP,*BOB,the lady brought it [= hat] .,,,,
,%mor,det|the-Def-Art noun|lady verb|bring-Fin-Ind-Past-S3 pron|it-Prs-Acc-S3 .,,,,
,%gra,1|2|DET 2|3|NSUBJ 3|4|ROOT 4|3|OBJ 5|3|PUNCT,,,,
,%com,Bob now are on . this is comment on dress up clothes and maybe hat,,,,
NOP,*CHI,oh here's your tie .,,,,
,%mor,intj|oh adv|here~aux|be-Fin-Ind-Pres-S3 pron|your-Prs-Gen-S2 noun|tie .,,,,
,%gra,1|2|DISCOURSE 2|5|ROOT 3|2|COP 4|5|NMOD-POSS 5|2|NSUBJ 6|2|PUNCT,,,,
,%com,"Glo finds tie and brings it to Bob , puts it on him",,,,
NOP,*BOB,yeah .,,,,
,%mor,intj|yeah .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,he accepts,,,,
POL,*BOB,thanks .,,,,
,%mor,noun|thanks .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,pleased .,,,,
NOP,*CHI,goodbye old snake .,,,,
,%mor,verb|goodbye-Fin-Imp-S adj|old-Pos-S1 noun|snake .,,,,
,%gra,1|3|ROOT 2|3|AMOD 3|1|OBJ 4|1|PUNCT,,,,
,%com,Glo takes snake off car,,,,
NOP,*BOB,xxx .,,,,
NOP,*CHI,can baby come with you ?,,,,
,%mor,aux|can-Fin-S noun|baby verb|come-Inf-S adp|with pron|you-Prs-Acc-S2 ?,,,,
,%gra,1|3|AUX 2|3|NSUBJ 3|5|ROOT 4|5|CASE 5|3|OBL 6|3|PUNCT,,,,
,%com,"Glo goes to sofa , picks up baby doll and holds it up to bob",,,,
,%par,loud,,,,
NOP,*BOB,what ?,,,,
,%mor,pron|what-Int-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*CHI,can baby come with ya ?,,,,
,%mor,aux|can-Fin-S noun|baby verb|come-Inf-S adp|with pron|you-Prs-Acc-S2 ?,,,,
,%gra,1|3|AUX 2|3|NSUBJ 3|5|ROOT 4|5|CASE 5|3|OBL 6|3|PUNCT,,,,
,%com,Glo holding doll on sofa,,,,
,*BOB,what .,,,,
,%mor,pron|what-Int-S1 .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*CHI,can baby come with you ?,,,,
,%mor,aux|can-Fin-S noun|baby verb|come-Inf-S adp|with pron|you-Prs-Acc-S2 ?,,,,
,%gra,1|3|AUX 2|3|NSUBJ 3|5|ROOT 4|5|CASE 5|3|OBL 6|3|PUNCT,,,,
,%par,"loud , lower clear",,,,
NOP,*BOB,she's [= baby] sick she's .,,,,
,%mor,pron|she-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adj|sick-Pos-S1 pron|she-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 .,,,,
,%gra,1|3|NSUBJ 2|3|COP 3|5|ROOT 4|5|NSUBJ 5|3|CCOMP 6|3|PUNCT,,,,
,%com,"Bob pauses , speaks , smiles",,,,
NOP,*CHI,can't she come with you ?,,,,
,%mor,aux|can-Fin-S~part|not pron|she-Prs-Nom-S3 verb|come-Inf-S adp|with pron|you-Prs-Acc-S2 ?,,,,
,%gra,1|4|AUX 2|4|ADVMOD 3|4|NSUBJ 4|6|ROOT 5|6|CASE 6|4|OBL 7|4|PUNCT,,,,
,%com,Glo takes doll to car and puts it on steering wheel,,,,
NOP,*CHI,she can lie right there [= on steering wheel] .,,,,
,%mor,pron|she-Prs-Nom-S3 aux|can-Fin-S verb|lie-Inf-S adv|right adv|there .,,,,
,%gra,1|3|NSUBJ 2|3|AUX 3|5|ROOT 4|5|ADVMOD 5|3|ADVMOD 6|3|PUNCT,,,,
NOP,*BOB,no she can't because she's sick .,,,,
,%mor,intj|no pron|she-Prs-Nom-S3 aux|can-Fin-S~part|not sconj|because pron|she-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adj|sick-Pos-S1 .,,,,
,%gra,1|3|DISCOURSE 2|3|NSUBJ 3|8|ROOT 4|3|ADVMOD 5|8|MARK 6|8|NSUBJ 7|8|COP 8|3|ADVCL 9|3|PUNCT,,,,
,%com,Glo replies Bob takes it off and holds it,,,,
NOP,*BOB,she's sick .,,,,
,%mor,pron|she-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adj|sick-Pos-S1 .,,,,
,%gra,1|3|NSUBJ 2|3|COP 3|3|ROOT 4|3|PUNCT,,,,
,%com,Bob hands doll back to her,,,,
NOP,*CHI,okay .,,,,
,%mor,intj|okay .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,"Glo takes it , agrees and moves back to sofa , exasperated .",,,,
NOP,*CHI,how come no ?,,,,
,%mor,adv|how verb|come-Fin-Ind-Pres-S intj|no ?,,,,
,%gra,1|2|ADVMOD 2|3|ROOT 3|2|DISCOURSE 4|2|PUNCT,,,,
,%com,"<aft> gets no response , Bob seems distracted .",,,,
NOP,*CHI,father can I come ?,,,,
,%mor,noun|father aux|can-Fin-S pron|I-Prs-Nom-S1 verb|come-Inf-S ?,,,,
,%gra,1|4|OBJ 2|4|AUX 3|4|NSUBJ 4|4|ROOT 5|4|PUNCT,,,,
,%com,Glo tries again .,,,,
NOP,*BOB,what ?,,,,
,%mor,pron|what-Int-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*CHI,can I come ?,,,,
,%mor,aux|can-Fin-S pron|I-Prs-Nom-S1 verb|come-Inf-S ?,,,,
,%gra,1|3|AUX 2|3|NSUBJ 3|3|ROOT 4|3|PUNCT,,,,
NOP,*BOB,what ?,,,,
,%mor,pron|what-Int-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,Glo at sofa back to bob,,,,
NOP,*CHI,can I come ?,,,,
,%mor,aux|can-Fin-S pron|I-Prs-Nom-S1 verb|come-Inf-S ?,,,,
,%gra,1|3|AUX 2|3|NSUBJ 3|3|ROOT 4|3|PUNCT,,,,
NOP,*BOB,call ?,,,,
,%mor,verb|call-Fin-Imp-S ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*CHI,come .,,,,
,%mor,verb|come-Fin-Imp-S .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%par,2nd syllable low,,,,
NOP,*BOB,yes .,,,,
,%mor,intj|yes .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*CHI,I hafta watch the baby .,,,,
,%mor,pron|I-Prs-Nom-S1 aux|hafta-Fin-S verb|watch-Inf-S det|the-Def-Art noun|baby .,,,,
,%gra,1|3|NSUBJ 2|3|AUX 3|5|ROOT 4|5|DET 5|3|OBJ 6|3|PUNCT,,,,
,%com,"Glo leaves doll on couch , wanders to table , around car , pause",,,,
NOP,*BOB,you can't .,,,,
,%mor,pron|you-Prs-Nom-S2 aux|can-Fin-S~part|not .,,,,
,%gra,1|2|NSUBJ 2|3|ROOT 3|2|ADVMOD 4|2|PUNCT,,,,
NOP,*CHI,father .,,,,
,%mor,noun|father .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,"interrupts . Bob to call him , picking up tool belt from car and shoving it to him",,,,
,%par,"<aft> call , distinct",,,,
NOP,*BOB,what ?,,,,
,%mor,pron|what-Int-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*CHI,your measuring +...,,,,
,%mor,pron|your-Prs-Gen-S2 noun|measuring +...,,,,
,%gra,1|2|NMOD-POSS 2|2|ROOT 3|2|PUNCT,,,,
NOP,*CHI,your things .,,,,
,%mor,pron|your-Prs-Gen-S2 noun|thing-Plur .,,,,
,%gra,1|2|NMOD-POSS 2|2|ROOT 3|2|PUNCT,,,,
NOP,*BOB,what they are ?,,,,
,%mor,pron|what-Rel-S1 pron|they-Prs-Nom-P3 aux|be-Fin-Ind-Pres-P3 ?,,,,
,%gra,1|3|ROOT 2|1|NSUBJ 3|1|COP 4|1|PUNCT,,,,
,%com,Bob accepts and Glo starts to wander off for the next 1 line(s),puts tools in his lap,,,
NOP,*CHI,they're just tool .,,,,
,%mor,pron|they-Prs-Nom-P3~aux|be-Fin-Ind-Pres-P3 adv|just noun|tool .,,,,
,%gra,1|4|NSUBJ 2|4|COP 3|4|ADVMOD 4|4|ROOT 5|4|PUNCT,,,,
NOP,*BOB,I don't need [!!] them [= tools] I need them in the work [!!] room .,,,,
,%mor,pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|need-Inf-S pron|they-Prs-Acc-P3 pron|I-Prs-Nom-S1 verb|need-Fin-Ind-Pres-S1 pron|they-Prs-Acc-P3 adp|in det|the-Def-Art noun|work noun|room .,,,,
,%gra,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|12|ROOT 5|4|OBJ 6|7|NSUBJ 7|4|PARATAXIS 8|7|OBJ 9|12|CASE 10|12|DET 11|12|COMPOUND 12|7|OBL 13|4|PUNCT,,,,
,%com,"Bob loud as if calling , puts tools on back of car",,,,
NOP,*CHI,I hafta go to the bathroom .,,,,
,%mor,pron|I-Prs-Nom-S1 aux|hafta-Fin-S verb|go-Inf-S adp|to det|the-Def-Art noun|bathroom .,,,,
,%gra,1|3|NSUBJ 2|3|AUX 3|6|ROOT 4|6|CASE 5|6|DET 6|3|OBL 7|3|PUNCT,,,,
,%com,Glo sits on stool . Bob glances and Bob knows what she's doing and looks at light switch,,,,
,%par,fast,,,,
NOP,*BOB,xxx there's a owl hanging in the bathroom .,,,,
,%mor,pron|there-Int-S1~verb|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|owl noun|hanging adp|in det|the-Def-Art noun|bathroom .,,,,
,%gra,1|2|EXPL 2|8|ROOT 3|5|DET 4|5|COMPOUND 5|2|NSUBJ 6|8|CASE 7|8|DET 8|5|NMOD 9|2|PUNCT,,,,
,%com,Bob points to switch . Glo a little abstracted,,,,
NOP,*CHI,what ?,,,,
,%mor,pron|what-Int-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*BOB,see .,,,,
,%mor,verb|see-Fin-Imp-S .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,Glo gets up and looks .,,,,
NOP,*CHI,oh .,,,,
,%mor,intj|oh .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,responds .,,,,
NOP,*BOB,I hafta go to the bathroom too .,,,,
,%mor,pron|I-Prs-Nom-S1 aux|hafta-Fin-S verb|go-Inf-S adp|to det|the-Def-Art noun|bathroom adv|too .,,,,
,%gra,1|3|NSUBJ 2|3|AUX 3|7|ROOT 4|6|CASE 5|6|DET 6|3|OBL 7|3|ADVMOD 8|3|PUNCT,,,,
,%com,"Bob still on car , looks down and speaks",,,,
NOP,*CHI,xxx just wait .,,,,
,%mor,adv|just verb|wait-Fin-Imp-S .,,,,
,%gra,1|2|ADVMOD 2|2|ROOT 3|2|PUNCT,,,,
,%com,"<aft> pause , they look at eah other perhaps listening to some noise outside .",,,,
NOP,*CHI,okay .,,,,
,%mor,intj|okay .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,<aft> pause,,,,
NOP,*BOB,&~las &~las &~las .,,,,
,%com,Bob speaks,,,,
NOP,*BOB,alright I'll go and get the xxx cars .,,,,
,%mor,intj|alright pron|I-Prs-Nom-S1~aux|will-Fin-S verb|go-Inf-S cconj|and verb|get-Inf-S det|the-Def-Art noun|car-Plur .,,,,
,%gra,1|4|DISCOURSE 2|4|NSUBJ 3|4|AUX 4|8|ROOT 5|6|CC 6|4|CONJ 7|8|DET 8|6|OBJ 9|4|PUNCT,,,,
NOP,*BOB,xxx .,,,,
,%com,Glo watches . Bob gets back on car,,,,
NOP,*CHI,can I come with you ?,,,,
,%mor,aux|can-Fin-S pron|I-Prs-Nom-S1 verb|come-Inf-S adp|with pron|you-Prs-Acc-S2 ?,,,,
,%gra,1|3|AUX 2|3|NSUBJ 3|5|ROOT 4|5|CASE 5|3|OBL 6|3|PUNCT,,,,
,%com,Glo gets up to go to him . direct gaze,,,,
NOP,*BOB,yes .,,,,
,%mor,intj|yes .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*CHI,&-umk .,,,,
NOP,*BOB,and I drive it [= car] .,,,,
,%mor,cconj|and pron|I-Prs-Nom-S1 verb|drive-Fin-Ind-Pres-S1 pron|it-Prs-Acc-S3 .,,,,
,%gra,1|3|CC 2|3|NSUBJ 3|4|ROOT 4|3|OBJ 5|3|PUNCT,,,,
,%com,<aft> neither child wants to leave but Sally takes them anyway .,,,,
NOP,*BOB,which time we gonna go ?,,,,
,%mor,det|which-Def-Int noun|time pron|we-Prs-Nom-P1 adv|gonna verb|go-Fin-Ind-Pres-P1 ?,,,,
,%gra,1|2|DET 2|5|OBL-TMOD 3|5|NSUBJ 4|5|ADVMOD 5|5|ROOT 6|5|PUNCT,,,,
,%com,said to Sally . then this is repeated directly to Glo who doesn't answer but goes to broom and starts sweeping .,,,,
NOP,*CHI,"ah , I gotta sweep the house .",,,,
,%mor,intj|ah cm|cm pron|I-Prs-Nom-S1 aux|gotta-Fin-S verb|sweep-Inf-S det|the-Def-Art noun|house .,,,,
,%gra,1|5|DISCOURSE 2|5|PUNCT 3|5|NSUBJ 4|5|AUX 5|7|ROOT 6|7|DET 7|5|OBJ 8|5|PUNCT,,,,
,%com,Bob on car . pleased noises,,,,
NOP,*BOB,what ?,,,,
,%mor,pron|what-Int-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*CHI,I gotta sweep the house .,,,,
,%mor,pron|I-Prs-Nom-S1 aux|gotta-Fin-S verb|sweep-Inf-S det|the-Def-Art noun|house .,,,,
,%gra,1|3|NSUBJ 2|3|AUX 3|5|ROOT 4|5|DET 5|3|OBJ 6|3|PUNCT,,,,
,%com,Glo sweeps around,,,,
NOP,*BOB,mhm .,,,,
,%mor,intj|mhm .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,pause,,,,
,%par,<bef .> laugh,,,,
NOP,*BOB,do you know what Glo .,,,,
,%mor,aux|do-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 verb|know-Inf-S det|what-Def-Int noun|Glo .,,,,
,%gra,1|3|AUX 2|3|NSUBJ 3|5|ROOT 4|5|DET 5|3|OBJ 6|3|PUNCT,,,,
,%com,Bob says this .,,,,
NOP,*CHI,what ?,,,,
,%mor,pron|what-Int-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,<aft> Bob doesn't reply .,,,,
NOP,*CHI,this is a nice place .,,,,
,%mor,pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art adj|nice-Pos-S1 noun|place .,,,,
,%gra,1|5|NSUBJ 2|5|COP 3|5|DET 4|5|AMOD 5|5|ROOT 6|5|PUNCT,,,,
,%com,Glo continues .,,,,
NOP,*BOB,what ?,,,,
,%mor,pron|what-Int-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,"Glo moves around , Bob watches",,,,
NOP,*CHI,this is a nice place .,,,,
,%mor,pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art adj|nice-Pos-S1 noun|place .,,,,
,%gra,1|5|NSUBJ 2|5|COP 3|5|DET 4|5|AMOD 5|5|ROOT 6|5|PUNCT,,,,
NOP,*BOB,what's a nice place this room .,,,,
,%mor,pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art adj|nice-Pos-S1 noun|place det|this-Def-Dem noun|room .,,,,
,%gra,1|7|ROOT 2|5|COP 3|5|DET 4|5|AMOD 5|1|NSUBJ 6|7|DET 7|5|NMOD-NPMOD 8|1|PUNCT,,,,
NOP,*BOB,this room ?,,,,
,%mor,det|this-Def-Dem noun|room ?,,,,
,%gra,1|2|DET 2|2|ROOT 3|2|PUNCT,,,,
NOP,*CHI,yup .,,,,
,%mor,intj|yup .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*BOB,oh yeah .,,,,
,%mor,intj|oh intj|yeah .,,,,
,%gra,1|2|ROOT 2|1|DISCOURSE 3|1|PUNCT,,,,
NOP,*CHI,it has a fire engine hat .,,,,
,%mor,pron|it-Prs-Nom-S3 verb|have-Fin-Ind-Pres-S3 det|a-Ind-Art noun|fire noun|engine noun|hat .,,,,
,%gra,1|2|NSUBJ 2|6|ROOT 3|6|DET 4|5|COMPOUND 5|6|COMPOUND 6|2|OBJ 7|2|PUNCT,,,,
,%com,Glo finds hat in sock and inspects it .,,,,
NOP,*BOB,can I have it [= hat] ?,,,,
,%mor,aux|can-Fin-S pron|I-Prs-Nom-S1 verb|have-Inf-S pron|it-Prs-Acc-S3 ?,,,,
,%gra,1|3|AUX 2|3|NSUBJ 3|4|ROOT 4|3|OBJ 5|3|PUNCT,,,,
,%com,Bob pleadingly,,,,
NOP,*CHI,yup .,,,,
,%mor,intj|yup .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,Glo takes it to him,,,,
NOP,*BOB,I'm the fireman I gotta put out a fire .,,,,
,%mor,pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 det|the-Def-Art noun|fireman pron|I-Prs-Nom-S1 aux|gotta-Fin-Ind-S1 verb|put-Inf-S adp|out det|a-Ind-Art noun|fire .,,,,
,%gra,1|4|NSUBJ 2|4|COP 3|4|DET 4|10|ROOT 5|7|NSUBJ 6|7|AUX 7|4|ACL-RELCL 8|7|COMPOUND-PRT 9|10|DET 10|7|OBJ 11|4|PUNCT,,,,
,%com,Bob puts it on and Glo watches briefly,,,,
NOP,*CHI,Mrs Rhonda's not here and I gotta do this to the .,,,,
,%mor,noun|Mrs noun|Rhonda~aux|be-Fin-Ind-Pres-S3 part|not adv|here cconj|and pron|I-Prs-Nom-S1 aux|gotta-Fin-S verb|do-Inf-S pron|this-Dem-S1 adp|to det|the-Def-Art .,,,,
,%gra,1|5|NSUBJ 2|1|FLAT 3|5|COP 4|5|ADVMOD 5|12|ROOT 6|9|CC 7|9|NSUBJ 8|9|AUX 9|5|CONJ 10|9|OBJ 11|12|CASE 12|9|OBL 13|5|PUNCT,,,,
,%com,"in teasing voice ""teacher's gone .""",,,,
,%par,<6w> sing,,,,
NOP,*CHI,fishy .,,,,
,%mor,adj|fishy-Pos-S1 .,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
,%com,"Glo goes to couch with iron , but changes mind and picks up baby doll .",,,,
NOP,*BOB,fishy ?,,,,
,%mor,adj|fishy-Pos-S1 ?,,,,
,%gra,1|1|ROOT 2|1|PUNCT,,,,
NOP,*CHI,father can you take the baby ?,,,,
,%mor,noun|father aux|can-Fin-S pron|you-Prs-Nom-S2 verb|take-Inf-S det|the-Def-Art noun|baby ?,,,,
,%gra,1|4|OBJ 2|4|AUX 3|4|NSUBJ 4|6|ROOT 5|6|DET 6|4|OBJ 7|4|PUNCT,,,,
,%com,Glo moves sideways by Bob but he watches and reaches out for doll .,,,,
NOP,*BOB,alright give it [= doll] to me in my hand no give it to me here back .,,,,
,%mor,intj|alright verb|give-Fin-Imp-S pron|it-Prs-Acc-S3 adp|to pron|I-Prs-Acc-S1 adp|in pron|my-Prs-Gen-S1 noun|hand intj|no verb|give-Fin-Imp-S pron|it-Prs-Acc-S3 adp|to pron|I-Prs-Acc-S1 adv|here adv|back .,,,,
,%gra,1|2|DISCOURSE 2|15|ROOT 3|2|OBJ 4|5|CASE 5|2|OBL 6|8|CASE 7|8|NMOD-POSS 8|2|OBL 9|10|DISCOURSE 10|2|PARATAXIS 11|10|OBJ 12|13|CASE 13|10|OBL 14|10|ADVMOD 15|10|ADVMOD 16|2|PUNCT,,,,
NOP,*BOB,back of the fire engine .,,,,
,%mor,adv|back adp|of det|the-Def-Art noun|fire noun|engine .,,,,
,%gra,1|5|ROOT 2|5|CASE 3|5|DET 4|5|COMPOUND 5|1|OBL 6|1|PUNCT,,,,
,%com,<aft> Glo puts baby on back and Bob drives (noises) .,,,,
,%par,<aft> driving noises,,,,
NOP,*CHI,I'll watch her in the back .,,,,
,%mor,pron|I-Prs-Nom-S1~aux|will-Fin-S verb|watch-Inf-S pron|her-Prs-Acc-S3 adp|in det|the-Def-Art noun|back .,,,,
,%gra,1|3|NSUBJ 2|3|AUX 3|7|ROOT 4|3|OBJ 5|7|CASE 6|7|DET 7|3|OBL 8|3|PUNCT,,,,
,%com,Bob looks at baby and Glo moves back a little,,,,
NOP,*CHI,oh you have a license .,,,,
,%mor,intj|oh pron|you-Prs-Nom-S2 verb|have-Fin-Ind-Pres-S2 det|a-Ind-Art noun|license .,,,,
,%gra,1|3|DISCOURSE 2|3|NSUBJ 3|5|ROOT 4|5|DET 5|3|OBJ 6|3|PUNCT,,,,
,%com,"Glo sees license plate , points to it , moving back a bit more Bob turns",,,,
NOP,*BOB,what license ?,,,,
,%mor,det|what-Def-Int noun|license ?,,,,
,%gra,1|2|DET 2|2|ROOT 3|2|PUNCT,,,,
NOP,*CHI,you got a license .,,,,
,%mor,pron|you-Prs-Nom-S2 verb|get-Fin-Ind-Past-S2 det|a-Ind-Art noun|license .,,,,
,%gra,1|2|NSUBJ 2|4|ROOT 3|4|DET 4|2|OBJ 5|2|PUNCT,,,,
