Polite/Not Polite,Utterances 
NOP,CHI: éste [?] .
NOP,CHI: mire [?] e [/] estos chiquitos .
NOP,CHI: los a(g)ujeritos son chiquitos .
NOP,MOT: ésos son chiquitos para agujas chiquititas .
NOP,MOT: y hay otros más grandes para agujas más grandes .
POL,CHI: (3.6) mire mamá .
POL,CHI: mire mamita .
POL,MOT: qué Puchi ?
NOP,CHI: mire acá .
NOP,CHI: acá están +...
NOP,CHI: mire .
NOP,MOT: aha .
NOP,JIM: ah: !
NOP,JIM: entonces si [/] si hacemos con [/] con el dedito .
NOP,JIM: a_ver ?
NOP,JIM: a_ver ?
NOP,JIM: a_ver ?
NOP,"JIM: <ah , no> [>] !"
NOP,CHI: <se cae> [=? no hay] [<] .
NOP,JIM: <éste es muy chico> [?] .
NOP,JIM: aquí sí .
NOP,JIM: entonces vamos a tener (.) un: de ese tamaño si: [/] (.) si hacemos .
XXX,CHI: &=laughs .
XXX,CHI: éste [?] .
NOP,JIM: hacemos entonces un: (.) suéter con sus deditos ?
NOP,MOT: no se puede .
NOP,MOT: no es cierto que no Koki ?
NOP,CHI: no: .
NOP,JIM: porco [//] porque <no sienten:> [//] (..) no sientan [*] un lugar .
NOP,MOT: <los &~dedit> [>] +/.
XXX,JIM: xxx [<] .
NOP,MOT: los deditos no saben tejer .
NOP,MOT: tienen que ser agujitas .
NOP,CHI: sí .
NOP,CHI: (4.2) acá hay una tijerita .
NOP,JIM: hm: !
NOP,JIM: ah: .
NOP,CHI: una tijerita chiquita .
NOP,"MOT: sí , <para uñas> [>] ."
XXX,JIM: [- eng] <what's that doing> [<] in there ?
XXX,MOT: [- eng] that's mine .
XXX,JIM: [- eng] let's see .
XXX,JIM: [- eng] that's for hair .
XXX,MOT: [- eng] yeah .
NOP,CHI: me regaló Mayté .
XXX,JIM: [- eng] that's a sewing basket .
NOP,CHI: que me regaló Mayté .
NOP,"MOT: no , ésa no le regaló Mayté ."
NOP,MOT: ésa es de la mamá para cortar las uñas .
NOP,CHI: (2.1) yo sí sabo@n .
POL,MOT: usted sabe cortarse las uñas ?
NOP,MOT: lo va a hacer con mucho cuidado ?
NOP,MOT: para no lastimarse ?
NOP,CHI: no .
POL,CHI: (6.3) cómo se corta mamá ?
NOP,MOT: con mucho cuidado .
POL,CHI: pero cómo ?
NOP,CHI: no <sabo@n> [>] .
NOP,MOT: <cómo> [<] ?
POL,"MOT: a_ver , muéstreme una uña ."
NOP,CHI: (3.8) ay .
NOP,CHI: <ya va estar> [?] .
NOP,"MOT: ya va estar , eh ?"
NOP,MOT: ya le corté un pedacito chiquitito .
POL,CHI: <ya (e)stá> [=? gracias] .
NOP,CHI: un pedacito chiquitito .
NOP,CHI: un pedacito chiquitito .
POL,JIM: de qué ?
NOP,CHI: la uña .
NOP,CHI: <de la> [>] uña .
NOP,JIM: uh [<] .
NOP,JIM: de [/] de la uña de quién ?
NOP,CHI: mía .
BOP,JIM: sí ?
POL,"JIM: ah , qué suerte !"
NOP,CHI: (2.4) &~e: .
NOP,CHI: éstos .
NOP,CHI: a: .
XXX,CHI: xxx .
NOP,CHI: los rebocitos@d .
NOP,CHI: éstos .
NOP,MOT: de quiénes son esos rebocitos@d ?
NOP,CHI: de la Inocenc(i)a .
NOP,MOT: ah .
NOP,CHI: <éstos to> [/] (.) éstos todos .
NOP,CHI: éstos todos .
NOP,MOT: ésos todos qué son ?
NOP,CHI: rebocitos@d .
NOP,MOT: de la Inocencia ?
POL,JIM: (7.) dónde están las tijeras para: las uñas ?
NOP,CHI: (9.8) voy a buscar .
NOP,CHI: (6.5) no sé [?] .
NOP,JIM: (2.6) no están aquí ?
NOP,MOT: (13.) mire ya cosí un a(g)ujerito .
NOP,MOT: (2.1) ya está arregladito .
POL,JIM: qué suerte !
POL,JIM: (2.7) qué bien que hace la mamá „ no ?
NOP,JIM: (8.1) ah .
NOP,JIM: ya .
NOP,CHI: (6.9) ése la encontró el papá porque estaba perdida .
NOP,MOT: las tijeritas de las uñas ?
NOP,CHI: sí .
NOP,MOT: (2.9) y qué va a hacer el papá con las tijeritas ?
NOP,CHI: va a cortar (.) eso .
NOP,CHI: (12.) estoy cosiendo las medias .
NOP,MOT: está cosiendo las medias ?
NOP,CHI: esto .
NOP,CHI: ay .
NOP,CHI: estoy ab(ri)endo esto .
NOP,MOT: mhm: .
NOP,CHI: así se abre .
NOP,MOT: se cierra .
NOP,CHI: se cierra y se abre .
NOP,MOT: y se abre y se cierra .
NOP,CHI: lo cerré y lo voy [?] +...
POL,MOT: muy bien !
NOP,CHI: lo cerré y orita@d lo voy a abrir .
POL,MOT: bueno .
NOP,CHI: (9.2) voy a buscar otro regalito [?] .
NOP,MOT: pero póngame esto acá .
NOP,MOT: <así puedo apoyar> [?] .
NOP,MOT: así yo puedo apoyar acá .
NOP,CHI: (5.4) se te cae toda la grabadora .
NOP,MOT: ay !
XXX,MOT: xxx .
POL,MOT: (7.) y qué está haciendo la grabadora ahora Koki ?
POL,CHI: qué [/] qué ?
POL,MOT: qué está haciendo la grabadora ahora ?
NOP,CHI: (2.5) nada .
NOP,MOT: nada ?
NOP,"CHI: (2.5) ahora (e)stá du(r)miendo , &~tá ."
POL,MOT: cómo [/] cómo ?
XXX,CHI: &=coughs .
NOP,MOT: ay bichito !
XXX,CHI: &=coughs .
NOP,CHI: ya .
NOP,MOT: ahora le vamos a dar el remedito de la tos .
NOP,MOT: el remedito colorado „ sabe ?
NOP,CHI: e [/] el [/] el blanco no (m)e des .
NOP,MOT: el blanco más tarde .
NOP,MOT: ahora no .
NOP,MOT: pero más tarde sí se lo voy a dar .
NOP,MOT: pero ahora no .
XXX,JIM: [- eng] did you give her the white this morning ?
XXX,MOT: yeah .
XXX,CHI: &=coughs .
NOP,CHI: <con es> [/] con esa cucharita .
NOP,MOT: con la cucharita le doy el de la tos ?
NOP,CHI: sí .
NOP,CHI: con esto .
NOP,CHI: con esa cucharita .
NOP,MOT: ya ?
XXX,CHI: &=coughs .
NOP,MOT: (2.5) ya le doy ?
NOP,CHI: (5.8) es un rabito .
POL,MOT: cómo [/] cómo ?
NOP,"CHI: es un rabito , digo ."
NOP,MOT: un rabito ?
POL,MOT: qué es eso ?
NOP,CHI: pelo .
NOP,CHI: (2.5) ése es un pelo .
NOP,MOT: ése es un pelo pero qué es un rabito ?
NOP,CHI: (2.5) no [?] .
NOP,MOT: ése: es un rabito ?
NOP,CHI: (6.2) <dáme para chupar> [?] .
NOP,CHI: ya no tengo mucha tos .
NOP,MOT: ya no ?
NOP,MOT: porque esto lo cura ?
NOP,MOT: pero [?] tan <rápido lo &~ku> [>] ?
POL,CHI: <mamá> [<] .
POL,MOT: qué mi amor ?
POL,CHI: mamita .
NOP,MOT: ay &~kom [*] linda que está la voz ahora !
NOP,"MOT: ay , ahora ya no habla como viejita ."
NOP,MOT: ahora habla como una niña .
NOP,CHI: sí .
NOP,MOT: (1.7) p(or)que antes hablaba como viejita .
NOP,MOT: así todo hablaba &~a &~a &~a .
NOP,CHI: sí .
POL,CHI: p(or) qué lo mojas ?
NOP,MOT: p(or)que tengo pegote en las manos y me quiero (.) limpiar .
NOP,CHI: la mía ?
NOP,MOT: no .
POL,MOT: <la suya no (.) la de la mamá no importa> [?] .
POL,MOT: la suya no porque usted está enfermita [?] .
POL,MOT: no la queremos enfermar más .
NOP,MOT: u:y [?] !
POL,CHI: perdón <mamá> [>] .
NOP,MOT: <no me tire más> [?] [<] la grabadora .
POL,CHI: perdón .
NOP,MOT: (es)tá bien .
NOP,CHI: mire mamá .
POL,MOT: qué le pasa en la patita ?
NOP,CHI: me corté mire .
NOP,MOT: a_ver Chuqui .
NOP,MOT: u:h está feo todavía pero ya se está poniendo mejorcito ese dedito .
NOP,CHI: ves ?
NOP,CHI: está poniendo mejorcito .
NOP,MOT: <se está &~po> [>] +/.
NOP,"CHI: <mejor no &~me> [//] [<] (.) mejor [//] ay: , un a(gu)jerito !"
NOP,MOT: un a(g)ujerito ?
NOP,MOT: lo voy a coser .
NOP,MOT: para arreglarlo .
NOP,"CHI: no , todavía no lo cosiste ."
NOP,MOT: a éste no .
NOP,MOT: pero el otro ya <lo cosí> [?] .
XXX,CHI: (6.2) oyoyoy@wp <oyoy@wp> [>] !
NOP,MOT: <ay cuidado> [<] !
NOP,MOT: ay cuidado !
NOP,CHI: te ayudé .
POL,MOT: gracias .
POL,CHI: <esto ya> [/] éstos eh [//] ya están mamá ?
NOP,MOT: ésos están sanitos .
NOP,MOT: y ésos son muy lindos porque son grandecitos y caben bien .
POL,CHI: mire mamá .
NOP,CHI: mire .
NOP,MOT: ah: así le quedan bien !
NOP,MOT: pero en las patitas también le quedan bien „ no es cierto ?
NOP,CHI: en mi cabeza también .
NOP,MOT: en la cabeza también .
POL,CHI: mire mamá .
NOP,"MOT: aha , le queda como un gorrito ."
NOP,MOT: después se las pongo en las patitas .
POL,CHI: bueno .
NOP,MOT: ay qué bue:na !
NOP,MOT: miren mi niña buena !
NOP,MOT: (5.4) ya no es más mi niña peleadora .
NOP,"MOT: ahora es mi niña buena , que me ayuda ."
NOP,CHI: sí .
POL,CHI: (9.3) qué va estar haciendo ?
POL,MOT: cómo [/] cómo ?
POL,CHI: qué estaba haciendo ?
POL,MOT: quién ?
NOP,CHI: yo .
POL,MOT: usted ?
POL,MOT: ahora dijo que se iba a poner las medias .
NOP,MOT: que después se las iba a poner .
NOP,MOT: y eso es bueno .
NOP,"MOT: porque antes decía “no , no quiero no quiero” ."
NOP,MOT: y eso es pícaro .
NOP,MOT: y de pelea „ no es cierto [>] ?
NOP,CHI: <sí:> [<] .
NOP,CHI: (1.9) esos todos [?] rebozos@d son de la Inocenc(i)a .
NOP,MOT: todos ?
NOP,CHI: ésos todos .
POL,MOT: y qué va a hacer con e [//] todos esos rebozos@d ?
POL,CHI: (6.) dónde está el otro de éstos ?
NOP,"MOT: uno solo tengo , o hay otro ?"
NOP,MOT: ahí hay otro .
NOP,CHI: hay dos ?
POL,CHI: (6.) dónde está el otro ?
NOP,MOT: no sé Puchi .
POL,CHI: (1.6) a dónde [= a'nonde] ?
NOP,CHI: acá está .
NOP,CHI: éste es .
NOP,CHI: <e@c botones> [?] .
NOP,CHI: con esto .
NOP,CHI: (2.5) <este ot(r)o es un rebozo@d de la Inocencia> [?] .
NOP,CHI: <aquí un botón mamá> [?] .
NOP,MOT: (5.1) <estos botones son para arreglar ropa> [?] .
NOP,MOT: (4.7) no me los saque „ eh ?
NOP,CHI: no .
NOP,CHI: estoy sacando .
NOP,CHI: estoy sacando .
NOP,CHI: estoy sacando éstos .
NOP,MOT: los papelitos ?
NOP,CHI: sí .
POL,MOT: bueno [?] .
NOP,MOT: pero el botón no lo saque .
NOP,"CHI: eh , éste está roto mire ."
POL,MOT: bueno .
POL,CHI: <po(r)que ese xxx> [?] .
NOP,MOT: (6.6) ahí se va a romper o no ?
NOP,MOT: eso es un a(g)ujerito o no ?
NOP,MOT: (1.5) pero va a ser un a(g)ujerito ?
NOP,CHI: sí .
NOP,MOT: lo coso ?
NOP,MOT: (1.7) antes de que se rompa o espero que se rompa ?
NOP,CHI: no .
NOP,MOT: lo coso ahora ?
NOP,CHI: yo lo tengo mamá .
POL,MOT: bueno .
NOP,CHI: (9.5) ahora <vamos a> [?] el disquito feo .
NOP,MOT: el disquito feo ?
NOP,CHI: no me gusta .
POL,MOT: cuál ?
NOP,CHI: disquito feo .
NOP,MOT: y no lo vamos a poner .
POL,CHI: qué vas a p [//] cuáles [//] cuál disquito vas a poner ?
NOP,MOT: voy a poner el disquito de Koki con la mamá .
NOP,MOT: <para escribirlo> [?] .
NOP,MOT: sí ?
NOP,MOT: <para escribir> [?] +/.
NOP,CHI: ya está ?
NOP,MOT: ya está arregladito y le falta un poquito [?] .
NOP,CHI: ya ?
NOP,MOT: <no un poquito> [?] .
NOP,MOT: <xxx se rompa de vuelta> [?] .
NOP,MOT: xxx .
NOP,CHI: aystá [: ahí está] .
XXX,CHI: &=coughs .
NOP,MOT: (6.) ay qué tos xxx !
NOP,CHI: ya <está> [>] ?
NOP,MOT: <no no> [<] no ponga la guagua@d arriba de la (.) grabadora „ eh ?
POL,CHI: por qué ?
NOP,MOT: <porque se rompe> [?] .
NOP,"MOT: no , se rompe ."
NOP,MOT: la grabadora es una cosa muy peligrosa [//] muy [/] muy delicada .
NOP,MOT: <no es pe> [/] no es peligrosa pero es delicada .
NOP,MOT: y no hay que ponerle cosas duras arriba .
NOP,MOT: hay que tratarla con cuidado .
NOP,CHI: (2.8) ayayay !
POL,MOT: bueno deme la grabadora y la tengo yo .
NOP,MOT: <para que no esté la guagua@d ahí> [?] .
NOP,MOT: <ahí está> [?] .
NOP,CHI: yo la dejo ahí .
XXX,CHI: &=coughs .
NOP,MOT: (6.1) <ay Chuquita xxx> [?] !
XXX,CHI: &=coughs .
NOP,CHI: (.) ése es (.) un pupuyu@c .
NOP,MOT: un pupuyu@c .
NOP,CHI: &~ta &~ta &~ta .
NOP,MOT: un pupuyu@c de tos .
NOP,CHI: sí .
NOP,MOT: (4.5) a_ver ?
NOP,MOT: <ya está bien cosidito> [?] .
XXX,MOT: xxx .
NOP,CHI: no hay nada .
NOP,MOT: no hay más ?
NOP,CHI: no .
NOP,MOT: <está sanita en los otros lados> [?] ?
NOP,MOT: y en la cola ?
POL,MOT: bueno ya está arregladita .
NOP,CHI: ahora no se me sale ?
NOP,MOT: cómo [/] cómo ?
NOP,CHI: no +/.
NOP,MOT: sí se le sale (.) porque es chiquita .
NOP,MOT: esa la tenemos que guardar para los nenitos@d chiquititos .
NOP,MOT: (3.4) para cuando la mamá tenga un bebito chiquitito .
NOP,CHI: y yo también .
POL,MOT: y usted también .
NOP,MOT: cuando las xxx bebitos chiquititos .
NOP,MOT: entonces le ponemos +...
NOP,"MOT: +, <el gorrito> [?] ."
NOP,MOT: eh ?
NOP,CHI: sí .
NOP,CHI: para que ellos estén contentos .
NOP,MOT: para que estén contentos y calentitos .
POL,"MOT: y (.) ésta (.) que es grandecita , es para usted ."
POL,MOT: cuando usted quiere se la pone .
POL,MOT: si quiere se la pone [>] +/.
NOP,CHI: <mañana [= ya'yana]> [<] .
NOP,MOT: mañana no .
POL,MOT: usted dijo dentro de un ratito „ eh .
NOP,CHI: no dije .
NOP,MOT: dijo .
NOP,MOT: sí dijo después@q .
NOP,CHI: no dije .
NOP,MOT: me dijo hace un ratito .
NOP,MOT: me dijo después@q .
NOP,MOT: y yo le dije “ay qué niña buena” !
POL,MOT: y usted dijo “por qué mamá” ?
NOP,"MOT: y yo le dije +""."
NOP,"MOT: +"" porque antes decía “no no quiero , no quiero” ."
NOP,"MOT: +"" y ahora la mamá le dice “se va a poner las medias” ?"
POL,"MOT: +"" y me dice “bueno después” ."
NOP,"MOT: +"" y eso es una niña buena ."
POL,MOT: se acuerda ?
NOP,MOT: todo <eso dijimos> [>] .
NOP,CHI: <no quiero> [<] .
NOP,MOT: ah <“no quiero”> [>] es peleador .
NOP,CHI: <no quiero> [<] .
NOP,MOT: “no quiero” es peleador .
NOP,MOT: a_ver soplemos la nariz .
NOP,MOT: a_ver sople .
NOP,CHI: ah .
POL,MOT: tiene chanchitos@f .
POL,MOT: yo se lo hago suavecito como a usted le gusta .
NOP,MOT: sople fuerte .
NOP,MOT: más fuerte .
NOP,CHI: no así despacito .
NOP,"MOT: a_ver , otra vez ."
NOP,MOT: así despacito no salen para afuera .
NOP,MOT: a_ver otra vez fuerte .
NOP,MOT: ay: !
NOP,MOT: ahí sí salieron todos .
NOP,MOT: mire cuántos .
NOP,CHI: sí .
NOP,MOT: <a_ver mire que (.) le saco los pegotitos sin [/] sin (.) lastimarla> [?] .
NOP,MOT: <pegotitos pegotitos> [?] .
NOP,MOT: <le saco los pegotitos> [?] .
NOP,MOT: <hay muchos pegotitos> [?] .
NOP,CHI: ay !
POL,CHI: <ay ya mamá apurate> [?] .
POL,MOT: bueno [?] .
